Guangzhou;china;guangzhou;canton;70100000;guangzhou0;23.11667;113.25;1;1
Tokyo;japan;tokyo;yokohama;41000000;tokyo0;35.61488;139.5813;1;2
Shanghai;china;shanghai;shanghai;40800000;shanghai0;31.22222;121.45806;2;3
Delhi;india;delhi;delhi;34600000;delhi0;28.66667;77.21667;1;4
Jakarta;indonesia;jakarta;jakarta;29200000;jakarta0;-6.21462;106.84513;1;5
Manila;philippines;manila;quezon;27200000;manila0;14.6042;120.9822;1;6
Mumbai;india;mumbai;bombay;27100000;mumbai0;19.01441;72.84794;2;7
Mexico City;mexico;mexico_city;mexico_city;25100000;mexico_city0;19.42847;-99.12766;1;8
Seoul;south_korea;seoul;incheon;25100000;seoul0;37.56826;126.97783;1;9
Cairo;egypt;cairo;cairo;22500000;cairo0;30.06263;31.24967;1;10
Dhaka;bangladesh;dhaka;dhaka;22500000;dhaka0;23.7104;90.40744;1;11
Sao Paulo;brazil;sao_paulo;sao_paulo;22100000;sao_paulo0;-23.5475;-46.63611;1;12
New York;united_states;new_york;new_york;22000000;new_york0;40.6638332;-73.938484;1;13
Bangkok;thailand;bangkok;bangkok;21200000;bangkok0;13.75;100.51667;1;14
Beijing;china;beijing;beijing;21200000;beijing0;39.9075;116.39723;3;15
Karachi;pakistan;karachi;karachi;20900000;karachi0;24.9056;67.0822;1;16
Lagos;nigeria;lagos;lagos;20700000;lagos0;6.45306;3.39583;1;17
Moscow;russia;moscow;moskva;19100000;moscow0;55.75222;37.61556;1;18
Kolkata;india;kolkata;calcutta;17700000;kolkata0;22.57;88.36;3;19
Osaka;japan;osaka;kobe;17700000;osaka0;34.69374;135.50218;2;20
Chengdu;china;chengdu;chengtu;17300000;chengdu0;30.66667;104.06667;4;21
Los Angeles;united_states;los_angeles;los_angeles;17200000;los_angeles0;34.020479;-118.41173;2;22
Buenos Aires;argentina;buenos_aires;buenos_aires;16700000;buenos_aires0;-34.61315;-58.37723;1;23
Tehran;iran;tehran;tehran;16500000;tehran0;35.69439;51.42151;1;24
Istanbul;turkey;istanbul;istanbul;15900000;istanbul0;41.01384;28.94966;1;25
Kinshasa;democratic_republic_of_the_congo;kinshasa;kinshasa;15600000;kinshasa0;-4.36;15.3;1;26
London;unitedkingdom;london;london;14900000;london0;51.50853;-0.12574;1;27
