Abu Dhabi;United Arab Emirates;abu_dhabi;abu_dhabi;896800;abu_dhabi0;24.46667;54.36667;1;1
Abuja;Nigeria;abuja;abuja;1352679;abuja0;9.05735;7.48976;1;2
Accra;Ghana;accra;accra;2449922;accra0;5.55602;-0.1969;1;3
Addis Ababa;Ethiopia;addis_ababa;addis_abeba;2979100;addis_ababa0;9.03;38.74;1;4
Algiers;Algeria;algiers;algiers;1530000;algiers0;36.7525;3.04197;1;5
Amman;Jordan;amman;amman;1036330;amman0;31.95522;35.94503;1;6
Amsterdam;Netherlands;amsterdam;amsterdam;779808;amsterdam0;52.37403;4.88969;1;7
Andorra la Vella;Andorra;andorra_la_vella;andorra;19407;andorra_la_vella0;42.5;1.5;1;8
Ankara;Turkey;ankara;ankara;4223398;ankara0;39.91987;32.85427;1;9
Antananarivo;Madagascar;antananarivo;antananarivo;1687748;antananarivo0;-18.91433;47.53098;1;10
Apia;Samoa;apia;apia;36735;apia0;-13.83;-171.77;1;11
Ashgabat;Turkmenistan;ashgabat;ashgabat;947221;ashgabat0;37.95;58.38333;1;12
Asmara;Eritrea;asmara;asmara;380568;asmara0;15.33;38.93;1;13
Astana;Kazakhstan;astana;nur_sultan;613006;astana0;51.1801;71.44598;1;14
Asuncion;Paraguay;asuncion;asuncion;512112;asuncion0;-25.30066;-57.63591;1;15
Athens;Greece;athens;athens;3158400;athens0;37.97945;23.71622;1;16
Baghdad;Iraq;baghdad;baghdad;5402486;baghdad0;33.34058;44.40088;1;17
Baku;Azerbaijan;baku;baku;1145000;baku0;40.37767;49.89201;1;18
Bamako;Mali;bamako;bamako;1793730;bamako0;12.65;-8;1;19
Bandar Seri Begawan;Brunei Darussalam;bandar_seri_begawan;bandar_seri_begawan;140000;bandar_seri_begawan0;4.89;114.94;1;20
Bangkok;Thailand;bangkok;bangkok;5831835;bangkok0;13.75;100.51667;1;21
Bangui;Central African Republic;bangui;bangui;622771;bangui0;4.36122;18.55496;1;22
Banjul;Gambia;banjul;banjul;31301;banjul0;13.45;-16.58;1;23
Basseterre;St. Kitts and Nevis;basseterre;basseterre;11900;basseterre0;17.3;-62.73;1;24
Beijing;China;beijing;beijing;10300723;beijing0;39.9075;116.39723;1;25
Beirut;Lebanon;beirut;beirut;2025123;beirut0;33.88894;35.49442;1;26
Belgrade;Serbia;belgrade;belgrade;1135502;belgrade0;44.82;20.45;1;27
Belmopan City;Belize;belmopan_city;belmopan;18326;belmopan_city0;17.25;-88.77;1;28
Berlin;Germany;berlin;berlin;3460725;berlin0;52.52437;13.41053;1;29
Bern;Switzerland;bern;bern;124381;bern0;46.94809;7.44744;1;30
Bishkek;Kyrgyzstan;bishkek;bishkek;833046;bishkek0;42.87;74.59;1;31
Bissau;Guinea-Bissau;bissau;bissau;395954;bissau0;11.86357;-15.59767;1;32
Bogota;Colombia;bogota;bogota;7451700;bogota0;4.60971;-74.08175;1;33
Brasilia;Brazil;brasilia;brasilia;2476249;brasilia0;-15.77972;-47.92972;1;34
Bratislava;Slovakia;bratislava;bratislava;432801;bratislava0;48.14816;17.10674;1;35
Brazzaville;Republic of the Congo;brazzaville;brazzaville;1373382;brazzaville0;-4.2669;15.28327;1;36
Bridgetown;Barbados;bridgetown;bridgetown;5996;bridgetown0;13.1;-59.6166667;1;37
Brussels;Belgium;brussels;bruxelles;1089538;brussels0;50.85045;4.34878;1;38
Bucharest;Romania;bucharest;bucharest;1944451;bucharest0;44.43;26.1;1;39
Budapest;Hungary;budapest;budapest;1733685;budapest0;47.49801;19.03991;1;40
Buenos Aires;Argentina;buenos_aires;buenos_aires;2890151;buenos_aires0;-34.61315;-58.37723;1;41
Cairo;Egypt;cairo;cairo;6758581;cairo0;30.06263;31.24967;1;42
Canberra;Australia;canberra;canberra;358600;canberra0;-35.28346;149.12807;1;43
Caracas;Venezuela;caracas;caracas;2097400;caracas0;10.5;-66.91667;1;44
Castries;St. Lucia;castries;castries;10634;castries0;14.02;-60.98;1;45
Chisinau;Moldova;chisinau;chisinau;664700;chisinau0;47.00556;28.8575;1;46
Conakry;Guinea;conakry;conakry;2007310;conakry0;9.53795;-13.67729;1;47
Copenhagen;Denmark;copenhagen;copenhagen;1199224;copenhagen0;55.67594;12.56553;1;48
Dakar;Senegal;dakar;dakar;2396800;dakar0;14.6937;-17.44406;1;49
Damascus;Syria;damascus;damascus;1414913;damascus0;33.5102;36.29128;1;50
Dhaka;Bangladesh;dhaka;dhaka;7000940;dhaka0;23.7104;90.40744;1;51
Dili;East Timor;dili;dili;193563;dili0;-8.58;125.58;1;52
Djibouti;Djibouti;djibouti;djibouti;353801;djibouti0;11.58767;43.14468;1;53
Dodoma;Tanzania;dodoma;dodoma;179757;dodoma0;-6.17486;35.73792;1;54
Doha;Qatar;doha;doha;521283;doha0;25.27932;51.52245;1;55
Dublin;Ireland;dublin;dublin;525383;dublin0;53.34399;-6.26719;1;56
Dushanbe;Tajikistan;dushanbe;dushanbe;679400;dushanbe0;38.53575;68.77905;1;57
Freetown;Sierra Leone;freetown;freetown;836574;freetown0;8.484;-13.22994;1;58
Funafuti;Tuvalu;funafuti;funafuti;0;funafuti0;-8.52;179.22;1;59
Gaborone;Botswana;gaborone;gaborone;227333;gaborone0;-24.65451;25.90859;1;60
Georgetown;Guyana;georgetown;georgetown;157743;georgetown0;6.8;-58.17;1;61
Gitega;Burundi;gitega;kitega;478155;gitega0;-3.4273;29.9246;1;62
Guatemala City;Guatemala;guatemala;guatemala;942348;guatemala0;14.64072;-90.51327;1;63
Hanoi;Vietnam;hanoi;hanoi;2316772;hanoi0;21.02;105.87;1;64
Harare;Zimbabwe;harare;harare;1725976;harare0;-17.82935;31.05389;1;65
Havana;Cuba;havana;havana;2135498;havana0;23.13302;-82.38304;1;66
Helsinki;Finland;helsinki;helsinki;588549;helsinki0;60.16952;24.93545;1;67
Honiara;Solomon Islands;honiara;honiara;64609;honiara0;-9.47;159.82;1;68
Islamabad;Pakistan;islamabad;islamabad;689249;islamabad0;33.72148;73.04329;1;69
Jakarta;Indonesia;jakarta;jakarta;9607787;jakarta0;-6.21462;106.84513;1;70
Jerusalem;Israel;jerusalem;jerusalem;788100;jerusalem0;31.77902;35.2253;1;71
Juba;South Sudan;juba;juba;230195;juba0;4.85;31.6;1;72
Kabul;Afghanistan;kabul;kabol;2938300;kabul0;34.52813;69.17233;1;73
Kampala;Uganda;kampala;kampala;1597900;kampala0;0.31628;32.58219;1;74
Kathmandu;Nepal;kathmandu;kathmandu;989273;kathmandu0;27.70169;85.3206;1;75
Khartoum;Sudan;khartoum;khartoum;1410858;khartoum0;15.54665;32.53361;1;76
Kiev;Ukraine;kiev;kyiv;2785131;kiev0;50.45466;30.5238;1;77
Kigali;Rwanda;kigali;kigali;1029384;kigali0;-1.94995;30.05885;1;78
Kingston;Jamaica;kingston;kingston;579137;kingston0;17.98;-76.8;1;79
Kingstown;St. Vincent and the Grenadines;kingstown;kingstown;26721;kingstown0;13.17;-61.23;1;80
Kinshasa;Dem Republic of the Congo;kinshasa;kinshasa;7273947;kinshasa0;-4.36;15.3;1;81
Kuala Lumpur;Malaysia;kuala_lumpur;kuala_lumpur;1627172;kuala_lumpur0;3.1412;101.68653;1;82
Kuwait City;Kuwait;kuwait_city;kuwait;57673;kuwait_city0;29.37;47.98;1;83
